Name,ID,Zip,County,Address,Latitude,Longitude
3.5 mm REFLECTASOL on PLANILUX,ec3bbdg1,,,,,
4 mm REFLECTASOL on PLANILUX,ec32210h,,,,,
5 mm REFLECTASOL on PLANILUX,ec3af5zq,,,,,
6 mm REFLECTASOL on PLANILUX,ec3qr803,,,,,
8 mm REFLECTASOL on PLANILUX,ec387rjx,,,,,
10 mm REFLECTASOL on PLANILUX,ec3det67,,,,,
12 mm REFLECTASOL on PLANILUX,ec3cu9aa,,,,,
3 mm REFLECTASOL on PARSOL,ec3tk6gx,,,,,
3.5 mm REFLECTASOL on PARSOL,ec3butdh,,,,,
4 mm REFLECTASOL on PARSOL,ec36m2xt,,,,,
5 mm REFLECTASOL on PARSOL,ec3a74eh,,,,,
6 mm REFLECTASOL on PARSOL,ec392ntc,,,,,
8 mm REFLECTASOL on PARSOL,ec3uz7gd,,,,,
Armaflex®Class 1,ec3df2z3,412216,Pune,"Pune Nagar Road, Haveli, Maharashtra, 412216",18.62258,74.02757
Armaflex® DS,ec3u1d74,412216,Pune,"Pune Nagar Road, Haveli, Maharashtra, 412216",18.62258,74.02757
Armaflex Endura®,ec3rpdms,412216,Pune,"Pune Nagar Road, Haveli, Maharashtra, 412216",18.62258,74.02757
Armaflex® AMP,ec31wth4,412216,Pune,"Pune Nagar Road, Haveli, Maharashtra, 412216",18.62258,74.02757
Armaflex® Class 0 Plus,ec3mgfeb,412216,Pune,"Pune Nagar Road, Haveli, Maharashtra, 412216",18.62258,74.02757
Armaflex® FRV,ec3qebyh,412216,Pune,"Pune Nagar Road, Haveli, Maharashtra, 412216",18.62258,74.02757
Armaflex® C1G,ec3awe4x,412216,Pune,"Pune Nagar Road, Haveli, Maharashtra, 412216",18.62258,74.02757
Steel-Hot Rolled Coil,ec382f2n,,Ballari,"Ballari, KA, India",15.157434463500977,76.88925170898438
M15 Grade,ec3j6zjy,,,,,
M20 Grade,ec3g4d6s,,,,,
M25 Grade,ec3pu2kq,,,,,
M30 Grade,ec3fmtbs,,,,,
M35 Grade,ec30nzkk,,,,,
M40 Grade,ec3dn5an,,,,,
Walltec facade panel for external walls,ec3j0emy,160019,,"14, 7c, Madhya Marg, Sector 7-C, Sector 7, Chandigarh, 160019, India",30.728231,76.8022244
Paralink 300 kN,ec33n7h3,,,India,22.351993560791016,79.36287689208984
S-P-08345 OTIS GEN3 MACHINE ROOM LESS ELEVATOR,ec3rzu1n,,,,,
M7.5 Grade,ec38n6gm,,,,,
M10 Grade,ec34xsmp,,,,,
M45 Grade,ec3cp5hh,,,India,22.351993560791016,79.36287689208984
M50 Grade,ec3dry8e,,,,,
M55 Grade,ec3jse4r,,,,,
M60 Grade,ec3kt4a2,,,,,
M70 Grade,ec3he2js,,,,,
M80 Grade,ec38ny7m,,,,,
15 mm Gypboard® Plain,ec30eed7,,Bangalore Urban,"Bengaluru, Karnataka, India",12.9715987,77.5945627
Berger ETICS with EPS board (75 mm),ec3385rj,,,,,
Berger ETICS with EPS board (100 mm),ec35ysj3,,,,,
Berger ETICS with EPS board (120 mm),ec36fe4k,,,,,
Berger ETICS with XPS board (50 mm),ec3k1722,,,,,
Berger ETICS with XPS board (75 mm),ec385hfp,,,,,
Berger ETICS with XPS board (100 mm),ec3npess,,,,,
Berger ETICS with XPS board (120 mm),ec3zcar5,,,,,
Berger ETICS with Mineral-woolboard (50mm),ec3f8nur,,,,,
Berger ETICS with Mineral-woolboard (75mm),ec3y9md1,,,,,
Berger ETICS with Mineral-woolboard (100mm),ec35s3tm,,,,,
Berger ETICS with Mineral-woolboard (120mm),ec3j7ukt,,,,,
1.0-1.28 GPF Commercial Floor-Mounted Toilet CT725CU(F)(G)(X),ec36t92e,,,,,
"Composite Insulators: EP6683-000_CLP-10-CBM20-110-400, EP6684-000_CS-45-CTP-140-450-M",ec3hmrwn,389950,Panchmahal,"Safari Crossing , Near Halol GIDC, Village - Kanjari, Taluka:Halol,, Abhetwa, Halol, Gujarat 389950, India",22.5278987,73.4629583
Entropy Workstation Model 1,ec3nsdxz,,,India,22.351993560791016,79.36287689208984
TruFlush Sensor-activated Flushometer (TRF 8156; TRF 8196),ec3a5eue,122022,Gurgaon Division,"Phase II, Udyog Vihar, Sector 20, Gurugram, Haryana 122022, India",28.5056634,77.0888228
Schindler 5000 X - Rope,ec3698gf,,,,,
#name_is_not_extracted,ec3uam64,,,,,
Colorcoat Prisma® pre-finished steel,ec3p1703,,,,,
"Acrylic Emulsion Primer (I), Jotun India Private Limited",ec3je75m,412220,Pune Division,"Ranjangaon MIDC, Maharashtra 412220, India",18.7826998,74.2795524
"Fenomastic Hygiene Emulsion Silk, Jotun India Private Limited",ec3rew2s,412220,Pune Division,"Ranjangaon MIDC, Maharashtra 412220, India",18.7826998,74.2795524
"Jotashield ColourLast Matt (I), Jotun India Private Limited",ec37hjfp,412220,Pune Division,"Ranjangaon MIDC, Maharashtra 412220, India",18.7826998,74.2795524
"Jotashield ColourLast Silk (I), Jotun India Private Limited",ec3z8ajx,412220,Pune Division,"Ranjangaon MIDC, Maharashtra 412220, India",18.7826998,74.2795524
"Jotashield WaterXtreme Topcoat, Jotun India Private Limited",ec36f3tx,412220,Pune Division,"Ranjangaon MIDC, Maharashtra 412220, India",18.7826998,74.2795524
"Jotashield Tex Ultra AA, Jotun India Private Limited",ec3bdnf5,412220,Pune Division,"Ranjangaon MIDC, Maharashtra 412220, India",18.7826998,74.2795524
"Jotashield WaterXtreme Basecoat, Jotun India Private Limited",ec38jfwz,412220,Pune Division,"Ranjangaon MIDC, Maharashtra 412220, India",18.7826998,74.2795524
"SteelMaster 600WF, Jotun India Private Limited",ec3h342g,412220,Pune Division,"Ranjangaon MIDC, Maharashtra 412220, India",18.7826998,74.2795524
"Steelmaster 1200WF, Jotun India Private Limited",ec31cdzw,412220,Pune Division,"Ranjangaon MIDC, Maharashtra 412220, India",18.7826998,74.2795524
S-P-12055 Indowud’s NFC Board,ec34rdn3,,Chennai,"Chennai, Tamil Nadu, India",13.0826802,80.2707184
S-P-12016 TI Macho TMT Bars,ec3z01km,517425,,"Vasanadu, Andhra Pradesh 517425, India",12.6952326,78.37568999999999
